catchment,prepare_exe,run_at_5km
85002,exe20,False
85003,exe20,False
85004,exe20,False
88001,exe20,False
89002,exe20,False
89003,exe20,False
89005,exe20,False
89007,exe20,False
90003,exe50,False
92001,exe20,False
93001,exe20,False
94001,exe50,False
95001,exe20,False
96001,exe20,False
96002,exe50,False
96004,exe20,False
97002,exe20,False
101002,exe20,False
101005,exe20,False
102001,exe20,False
106001,exe20,False
107001,exe20,False
201002,exe50,False
201005,exe50,False
201006,exe50,False
201007,exe50,False
201009,exe50,False
202001,exe50,False
202002,exe50,False
203012,exe50,False
203018,exe50,False
203019,exe50,False
203020,exe50,False
203024,exe50,False
203025,exe50,False
203028,exe50,False
203033,exe50,False
203042,exe50,False
203043,exe50,False
203050,exe50,False
203093,exe50,False
204001,exe50,False
205004,exe50,False
205011,exe50,False
205015,exe50,False
205020,exe50,False
205105,exe50,False
206001,exe50,False
206002,exe50,False
236005,exe50,False
236007,exe50,False
236051,exe50,False
